iter	RMSE
306	175391.8478
307	175167.5498
308	174919.8909
309	174635.4466
310	174575.5601
311	174296.6274
312	174013.7323
313	173600.0719
314	173334.1426
315	173139.1888
316	172918.4497
317	172699.9587
318	172593.8983
319	172344.713
320	172118.5681
321	172008.7177
322	171796.9955
323	171528.09
324	171406.2841
325	171228.743
326	171063.614
327	170884.8276
328	170797.4461
329	170623.7184
330	170297.9043
331	170115.1287
332	170001.2114
333	169831.5768
334	169388.3123
335	169222.9195
336	169007.535
337	168723.7386
338	168665.912
339	168569.2013
340	168281.1021
341	167966.214
342	167859.9464
343	167713.4911
344	167453.1284
345	167299.4091
346	167129.7946
347	166829.2047
348	166625.7555
349	166567.3025
350	166402.958
351	166209.8495
352	166076.284
353	165903.6169
354	165816.1614
355	165526.0018
356	165472.5211
357	165328.4554
358	165082.468
359	164927.7578
360	164615.2596
361	164477.738
362	164350.7354
363	164109.3408
364	163872.8765
365	163596.446
366	163424.6616
367	163214.4097
368	163081.9137
369	162855.6376
370	162726.5749
371	162454.2997
372	162319.8201
373	162111.5244
374	161988.2619
375	161784.7015
376	161643.1298
377	161483.8701
378	161431.2871
379	161280.6308
380	161241.6431
381	161066.17
382	160906.1596
383	160868.3698
384	160686.1825
385	160649.5732
386	160433.2355
387	160287.8034
388	160075.8006
389	159812.7053
390	159616.5021
391	159370.1058
392	159333.0284
393	159179.0109
394	159083.6748
395	158967.7358
396	158927.236
397	158693.3145
398	158515.5206
399	158274.7457
400	158051.142
401	157931.103
402	157763.2525
403	157597.0167
404	157484.6477
405	157312.3093
406	157231.8365
407	157054.7333
408	157019.8336
409	156931.8617
410	156744.2646
411	156710.6177
412	156596.7045
413	156413.4445
414	156274.5893
415	156122.8381
416	156025.4599
417	155905.4798
418	155822.8393
419	155591.8683
420	155478.0165
421	155367.5689
422	155243.5936
423	155156.6055
424	155062.9428
425	154934.5131
426	154899.9665
427	154779.8812
428	154661.2731
429	154450.4596
430	154235.7664
431	154099.1153
432	154026.0652
433	153853.9711
434	153789.3786
435	153753.3801
436	153587.9002
437	153523.9724
438	153322.0605
439	153202.7273
440	152989.8654
441	152846.7256
442	152797.9434
443	152592.2454
444	152532.7689
445	152502.4853
446	152392.2562
447	152226.2556
448	152024.4293
449	151851.0556
450	151769.7777
451	151639.3172
452	151528.6238
453	151430.1705
454	151391.7709
455	151364.5411
456	151255.2366
457	151125.1461
458	151064.7868
459	150969.9765
460	150804.7883
461	150705.4692
462	150612.6707
463	150492.4344
464	150442.8432
465	150321.6764
466	150224.15
467	150132.5348
468	150034.3984
469	149930.7604
470	149856.1485
471	149658.4902
472	149534.2891
473	149385.4808
474	149260.1861
475	149204.4149
476	149118.0887
477	148992.5911
478	148890.378
479	148811.1655
480	148724.6154
481	148672.4658
482	148478.4002
483	148371.1719
484	148301.6316
485	148209.535
486	148121.587
487	148093.8101
488	147978.7939
489	147929.2035
490	147876.6345
491	147692.6772
492	147608.3187
493	147377.3067
494	147264.2391
495	147178.7455
496	147054.9266
497	146975.6785
498	146861.7502
499	146785.8643
500	146638.257
501	146576.4088
502	146483.4158
503	146372.773
504	146340.0073
505	146242.5463
506	146160.06
507	146036.105
508	145875.1799
509	145747.1644
510	145627.3823
511	145501.0606
512	145430.2678
513	145405.4295
514	145341.5348
515	145276.8521
516	145069.4306
517	145020.9586
518	144993.539
519	144942.5802
520	144902.1139
521	144889.0183
522	144726.5345
523	144665.1825
524	144520.5133
525	144431.3506
526	144385.1434
527	144285.5375
528	144212.9922
529	144116.2
530	144071.467
531	143999.4801
532	143959.9477
533	143915.6509
534	143873.7168
535	143839.5012
536	143744.9821
537	143719.584
538	143636.3649
539	143568.7634
540	143452.6847
541	143350.0758
542	143265.2237
543	143199.7236
544	143171.7075
545	143085.5596
546	143021.8306
547	142978.3521
548	142959.5132
549	142924.8202
550	142890.3094
551	142854.1886
552	142835.9395
553	142729.2696
554	142651.5326
555	142546.8504
556	142518.6949
557	142373.2679
558	142324.9116
559	142177.5155
560	142131.2232
561	142095.0643
562	142008.6626
563	141845.6412
564	141790.6162
565	141715.1383
566	141698.6847
567	141629.2896
568	141610.626
569	141568.0804
570	141534.1878
571	141512.9156
572	141481.2373
573	141375.1812
574	141362.453
575	141226.5944
576	141175.9582
577	141161.1425
578	141150.4422
579	141140.7593
580	141130.7479
581	141067.7468
582	141057.9609
583	141048.8117
584	140988.6058
585	140979.4245
586	140949.4018
587	140845.1338
588	140688.5338
589	140531.3986
590	140421.8666
591	140413.1221
592	140346.6363
593	140338.1945
594	140270.1881
595	140262.0159
596	140182.0706
597	140115.6013
598	140053.8237
599	139876.2778
600	139850.0099
601	139821.8554
602	139715.7407
603	139642.2917
604	139525.9943
605	139388.0086
606	139310.1642
607	139192.7505
608	139073.3939
609	138994.5928
610	138903.7296
611	138882.101
612	138854.4294
613	138801.3625
614	138792.5074
615	138679.4273
616	138628.5799
617	138571.2416
618	138495.6184
619	138463.9517
620	138400.1847
621	138275.1568
622	138200.4586
623	138155.8459
624	138049.2984
625	137932.1355
626	137896.3521
627	137817.7031
628	137702.4554
629	137615.2816
630	137536.5631
631	137460.6952
632	137371.8802
633	137262.5072
634	137190.3814
635	137145.2746
636	137116.4019
637	137062.8132
638	137049.0234
639	137000.5206
640	136937.2107
641	136891.2722
642	136822.318
643	136721.1942
644	136705.1582
645	136560.1725
646	136462.067
647	136388.4104
648	136317.3199
649	136238.6275
650	136170.8174
651	136065.587
652	136037.8375
653	136030.5929
654	135955.345
655	135901.0173
656	135780.2931
657	135760.6322
658	135676.2604
659	135666.6561
660	135575.7403
661	135504.3415
662	135415.4693
663	135369.7289
664	135333.633
665	135242.7345
666	135174.8843
667	135167.5029
668	135116.6771
669	135054.2101
670	134979.1927
671	134890.0296
672	134826.5978
673	134755.3574
674	134697.1439
675	134614.1408
676	134495.9296
677	134488.8728
678	134427.2026
679	134348.7087
680	134303.3479
681	134255.0836
682	134099.537
683	134072.8819
684	134006.5599
685	133941.8909
686	133923.4804
687	133899.1197
688	133867.7007
689	133746.1057
690	133738.3411
691	133681.5593
692	133658.6167
693	133618.1734
694	133537.7276
695	133463.5535
696	133354.0296
697	133252.6192
698	133173.594
699	133160.6817
700	133074.9344
701	132993.338
702	132912.112
703	132799.6475
704	132743.1079
705	132585.336
706	132529.3374
707	132441.385
708	132383.9644
709	132308.8459
710	132275.2682
711	132159.9454
712	132140.062
713	132095.321
714	131994.6885
715	131933.3356
716	131902.3551
717	131810.6073
718	131765.693
719	131706.8525
720	131692.387
721	131675.7786
722	131619.7209
723	131594.6449
724	131578.2881
725	131564.5988
726	131485.5128
727	131342.2251
728	131314.005
729	131279.3516
730	131273.4482
731	131166.2929
732	131160.7879
733	131118.4397
734	131112.684
735	131056.6606
736	131006.8217
737	130939.9738
738	130896.3937
739	130833.8817
740	130781.888
741	130750.3833
742	130694.4043
743	130627.8378
744	130577.96
745	130563.2028
746	130506.0637
747	130451.3246
748	130389.2814
749	130315.1273
750	130255.686
751	130205.8258
752	130180.204
753	130172.3855
754	130167.4766
755	130108.5654
756	130000.1745
757	129913.9611
758	129848.0291
759	129747.7479
760	129720.4609
761	129675.2415
762	129648.1838
763	129617.527
764	129582.7472
765	129461.3187
766	129374.4641
767	129334.1735
768	129288.1418
769	129228.031
770	129198.8459
771	129144.0106
772	129077.5569
773	129011.7107
774	128969.12
775	128929.0472
776	128814.1339
777	128709.0184
778	128650.5604
779	128631.4565
780	128554.3803
781	128485.4336
782	128457.6693
783	128363.4388
784	128338.1615
785	128266.0767
786	128252.2244
787	128156.5307
788	128120.8206
789	128038.9077
790	127992.683
791	127939.7943
792	127892.4498
793	127850.7119
794	127801.0076
795	127742.6282
796	127689.0459
797	127664.3422
798	127622.2532
799	127596.0568
800	127547.6944
801	127466.3654
802	127449.4849
803	127426.0893
804	127343.5066
805	127304.781
806	127266.029
807	127246.9204
808	127193.6327
809	127176.0509
810	127119.2034
811	127064.632
812	126970.753
813	126885.1122
814	126855.6948
815	126812.05
816	126723.7673
817	126683.9277
818	126613.4811
819	126570.9461
820	126531.2552
821	126452.4367
822	126379.3928
823	126359.6865
824	126303.9756
825	126261.0375
826	126234.5391
827	126182.7428
828	126065.9024
829	126060.2346
830	126040.709
831	125965.0261
832	125899.2423
833	125816.2643
834	125773.9702
835	125738.7459
836	125725.05
837	125706.1534
838	125670.178
839	125659.3857
840	125627.6538
841	125576.4629
842	125542.982
843	125507.7163
844	125467.5575
845	125409.699
846	125371.2131
847	125358.3533
848	125270.7349
849	125221.0062
850	125201.3492
851	125100.9148
852	124977.5398
853	124955.6682
854	124943.8404
855	124919.2449
856	124843.0281
857	124836.5259
858	124760.4115
859	124718.2695
860	124695.0718
861	124663.9755
862	124653.2396
863	124615.2785
864	124580.4405
865	124532.102
866	124526.3416
867	124518.6578
868	124473.3724
869	124469.3744
870	124440.3788
871	124418.259
872	124334.0555
873	124311.7447
874	124301.4685
875	124267.0477
876	124263.373
877	124183.2881
878	124157.015
879	124124.4342
880	124112.2905
881	124092.2662
882	124007.1216
883	123978.6005
884	123968.781
885	123934.0286
886	123906.9593
887	123857.2339
888	123818.5894
889	123769.8099
890	123763.913
891	123760.7461
892	123722.8768
893	123631.9091
894	123628.489
895	123607.9584
896	123596.2224
897	123522.1488
898	123485.2734
899	123417.7886
900	123384.6372
901	123327.7011
902	123258.5204
903	123255.7061
904	123234.5532
905	123205.5114
906	123151.5132
907	123109.2928
908	123062.4482
909	123030.5058
910	122992.2269
911	122933.5837
912	122903.7803
913	122876.5576
914	122782.3906
915	122727.0292
916	122697.3686
917	122671.3363
918	122634.1589
919	122560.5376
920	122508.0511
921	122466.9646
922	122452.3909
923	122410.6624
924	122387.7028
925	122357.2247
926	122281.4883
927	122221.0788
928	122165.1027
929	122111.8496
930	122027.9855
931	121980.5662
932	121939.6396
933	121899.363
934	121895.427
935	121864.1712
936	121811.7244
937	121766.5823
938	121732.2463
939	121673.6693
940	121632.0624
941	121565.5086
942	121539.0165
943	121494.182
944	121434.2648
945	121345.217
946	121292.7952
947	121243.1181
948	121212.6176
949	121177.4058
950	121109.57
951	121062.1687
952	121014.7001
953	120979.7216
954	120950.7913
955	120890.6575
956	120858.5659
957	120819.3463
958	120780.9133
959	120735.4669
960	120717.6839
961	120689.1007
962	120643.6491
963	120609.5151
964	120576.6268
965	120537.2185
966	120484.9246
967	120405.0161
968	120368.7233
969	120328.6605
970	120301.3016
971	120278.7469
972	120244.0077
973	120197.7625
974	120136.3626
975	120099.1999
976	120082.5928
977	120041.0328
978	120018.2601
979	119954.4133
980	119900.8147
981	119884.5189
982	119858.7735
983	119778.9363
984	119736.4161
985	119707.969
986	119657.5004
987	119633.8094
988	119599.7696
989	119567.6586
990	119484.3388
991	119436.3187
992	119399.0105
993	119355.6915
994	119328.5563
995	119308.1073
996	119282.0262
997	119213.7727
998	119156.0863
999	119122.5744
